2018-08-28 14:33:26 startup archives unpack
2018-08-28 14:33:26 install xxd:amd64 <none> 2:8.0.0197-4+deb9u1
2018-08-28 14:33:26 status half-installed xxd:amd64 2:8.0.0197-4+deb9u1
2018-08-28 14:33:26 status unpacked xxd:amd64 2:8.0.0197-4+deb9u1
2018-08-28 14:33:26 status unpacked xxd:amd64 2:8.0.0197-4+deb9u1
2018-08-28 14:33:26 install vim-common:all <none> 2:8.0.0197-4+deb9u1
2018-08-28 14:33:26 status half-installed vim-common:all 2:8.0.0197-4+deb9u1
2018-08-28 14:33:26 status unpacked vim-common:all 2:8.0.0197-4+deb9u1
2018-08-28 14:33:26 status unpacked vim-common:all 2:8.0.0197-4+deb9u1
2018-08-28 14:33:26 install libgpm2:amd64 <none> 1.20.4-6.2+b1
2018-08-28 14:33:26 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-08-28 14:33:26 status half-installed libgpm2:amd64 1.20.4-6.2+b1
2018-08-28 14:33:26 status unpacked libgpm2:amd64 1.20.4-6.2+b1
2018-08-28 14:33:26 status unpacked libgpm2:amd64 1.20.4-6.2+b1
2018-08-28 14:33:26 install vim-runtime:all <none> 2:8.0.0197-4+deb9u1
2018-08-28 14:33:26 status half-installed vim-runtime:all 2:8.0.0197-4+deb9u1
2018-08-28 14:33:27 status unpacked vim-runtime:all 2:8.0.0197-4+deb9u1
2018-08-28 14:33:27 status unpacked vim-runtime:all 2:8.0.0197-4+deb9u1
2018-08-28 14:33:27 install vim:amd64 <none> 2:8.0.0197-4+deb9u1
2018-08-28 14:33:27 status half-installed vim:amd64 2:8.0.0197-4+deb9u1
2018-08-28 14:33:27 status unpacked vim:amd64 2:8.0.0197-4+deb9u1
2018-08-28 14:33:27 status unpacked vim:amd64 2:8.0.0197-4+deb9u1
2018-08-28 14:33:27 startup packages configure
2018-08-28 14:33:27 configure xxd:amd64 2:8.0.0197-4+deb9u1 <none>
2018-08-28 14:33:27 status unpacked xxd:amd64 2:8.0.0197-4+deb9u1
2018-08-28 14:33:27 status half-configured xxd:amd64 2:8.0.0197-4+deb9u1
2018-08-28 14:33:27 status installed xxd:amd64 2:8.0.0197-4+deb9u1
2018-08-28 14:33:27 configure libgpm2:amd64 1.20.4-6.2+b1 <none>
2018-08-28 14:33:27 status unpacked libgpm2:amd64 1.20.4-6.2+b1
2018-08-28 14:33:27 status half-configured libgpm2:amd64 1.20.4-6.2+b1
2018-08-28 14:33:27 status installed libgpm2:amd64 1.20.4-6.2+b1
2018-08-28 14:33:27 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2018-08-28 14:33:27 status half-configured libc-bin:amd64 2.24-11+deb9u3
2018-08-28 14:33:27 status installed libc-bin:amd64 2.24-11+deb9u3
2018-08-28 14:33:27 configure vim-common:all 2:8.0.0197-4+deb9u1 <none>
2018-08-28 14:33:27 status unpacked vim-common:all 2:8.0.0197-4+deb9u1
2018-08-28 14:33:27 status unpacked vim-common:all 2:8.0.0197-4+deb9u1
2018-08-28 14:33:27 status half-configured vim-common:all 2:8.0.0197-4+deb9u1
2018-08-28 14:33:27 status installed vim-common:all 2:8.0.0197-4+deb9u1
2018-08-28 14:33:27 configure vim-runtime:all 2:8.0.0197-4+deb9u1 <none>
2018-08-28 14:33:27 status unpacked vim-runtime:all 2:8.0.0197-4+deb9u1
2018-08-28 14:33:27 status half-configured vim-runtime:all 2:8.0.0197-4+deb9u1
2018-08-28 14:33:27 status installed vim-runtime:all 2:8.0.0197-4+deb9u1
2018-08-28 14:33:27 configure vim:amd64 2:8.0.0197-4+deb9u1 <none>
2018-08-28 14:33:27 status unpacked vim:amd64 2:8.0.0197-4+deb9u1
2018-08-28 14:33:27 status half-configured vim:amd64 2:8.0.0197-4+deb9u1
2018-08-28 14:33:28 status installed vim:amd64 2:8.0.0197-4+deb9u1
2018-08-29 10:34:42 startup archives unpack
2018-08-29 10:34:42 install netcat-traditional:amd64 <none> 1.10-41+b1
2018-08-29 10:34:42 status half-installed netcat-traditional:amd64 1.10-41+b1
2018-08-29 10:34:42 status unpacked netcat-traditional:amd64 1.10-41+b1
2018-08-29 10:34:42 status unpacked netcat-traditional:amd64 1.10-41+b1
2018-08-29 10:34:42 install netcat:all <none> 1.10-41
2018-08-29 10:34:42 status half-installed netcat:all 1.10-41
2018-08-29 10:34:42 status unpacked netcat:all 1.10-41
2018-08-29 10:34:42 status unpacked netcat:all 1.10-41
2018-08-29 10:34:42 startup packages configure
2018-08-29 10:34:42 configure netcat-traditional:amd64 1.10-41+b1 <none>
2018-08-29 10:34:42 status unpacked netcat-traditional:amd64 1.10-41+b1
2018-08-29 10:34:42 status half-configured netcat-traditional:amd64 1.10-41+b1
2018-08-29 10:34:42 status installed netcat-traditional:amd64 1.10-41+b1
2018-08-29 10:34:42 configure netcat:all 1.10-41 <none>
2018-08-29 10:34:42 status unpacked netcat:all 1.10-41
2018-08-29 10:34:42 status half-configured netcat:all 1.10-41
2018-08-29 10:34:42 status installed netcat:all 1.10-41
2018-08-30 09:46:36 startup archives unpack
2018-08-30 09:46:36 install readline-common:all <none> 7.0-3
2018-08-30 09:46:36 status half-installed readline-common:all 7.0-3
2018-08-30 09:46:36 status unpacked readline-common:all 7.0-3
2018-08-30 09:46:36 status unpacked readline-common:all 7.0-3
2018-08-30 09:46:36 install mysql-common:all <none> 5.8+1.0.2
2018-08-30 09:46:36 status half-installed mysql-common:all 5.8+1.0.2
2018-08-30 09:46:36 status unpacked mysql-common:all 5.8+1.0.2
2018-08-30 09:46:36 status unpacked mysql-common:all 5.8+1.0.2
2018-08-30 09:46:36 install mariadb-common:all <none> 10.1.26-0+deb9u1
2018-08-30 09:46:36 status half-installed mariadb-common:all 10.1.26-0+deb9u1
2018-08-30 09:46:36 status unpacked mariadb-common:all 10.1.26-0+deb9u1
2018-08-30 09:46:36 status unpacked mariadb-common:all 10.1.26-0+deb9u1
2018-08-30 09:46:36 install libaio1:amd64 <none> 0.3.110-3
2018-08-30 09:46:36 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-08-30 09:46:36 status half-installed libaio1:amd64 0.3.110-3
2018-08-30 09:46:36 status unpacked libaio1:amd64 0.3.110-3
2018-08-30 09:46:36 status unpacked libaio1:amd64 0.3.110-3
2018-08-30 09:46:36 install libreadline5:amd64 <none> 5.2+dfsg-3+b1
2018-08-30 09:46:36 status half-installed libreadline5:amd64 5.2+dfsg-3+b1
2018-08-30 09:46:36 status unpacked libreadline5:amd64 5.2+dfsg-3+b1
2018-08-30 09:46:36 status unpacked libreadline5:amd64 5.2+dfsg-3+b1
2018-08-30 09:46:36 install mariadb-client-core-10.1:amd64 <none> 10.1.26-0+deb9u1
2018-08-30 09:46:36 status half-installed mariadb-client-core-10.1:amd64 10.1.26-0+deb9u1
2018-08-30 09:46:37 status unpacked mariadb-client-core-10.1:amd64 10.1.26-0+deb9u1
2018-08-30 09:46:37 status unpacked mariadb-client-core-10.1:amd64 10.1.26-0+deb9u1
2018-08-30 09:46:37 install libjemalloc1:amd64 <none> 3.6.0-9.1
2018-08-30 09:46:37 status half-installed libjemalloc1:amd64 3.6.0-9.1
2018-08-30 09:46:37 status unpacked libjemalloc1:amd64 3.6.0-9.1
2018-08-30 09:46:37 status unpacked libjemalloc1:amd64 3.6.0-9.1
2018-08-30 09:46:37 install mariadb-client-10.1:amd64 <none> 10.1.26-0+deb9u1
2018-08-30 09:46:37 status half-installed mariadb-client-10.1:amd64 10.1.26-0+deb9u1
2018-08-30 09:46:38 status unpacked mariadb-client-10.1:amd64 10.1.26-0+deb9u1
2018-08-30 09:46:38 status unpacked mariadb-client-10.1:amd64 10.1.26-0+deb9u1
2018-08-30 09:46:38 install default-mysql-client:all <none> 1.0.2
2018-08-30 09:46:38 status half-installed default-mysql-client:all 1.0.2
2018-08-30 09:46:38 status unpacked default-mysql-client:all 1.0.2
2018-08-30 09:46:38 status unpacked default-mysql-client:all 1.0.2
2018-08-30 09:46:38 install libdbi-perl:amd64 <none> 1.636-1+b1
2018-08-30 09:46:38 status half-installed libdbi-perl:amd64 1.636-1+b1
2018-08-30 09:46:38 status unpacked libdbi-perl:amd64 1.636-1+b1
2018-08-30 09:46:38 status unpacked libdbi-perl:amd64 1.636-1+b1
2018-08-30 09:46:38 install libmariadbclient18:amd64 <none> 10.1.26-0+deb9u1
2018-08-30 09:46:38 status half-installed libmariadbclient18:amd64 10.1.26-0+deb9u1
2018-08-30 09:46:38 status unpacked libmariadbclient18:amd64 10.1.26-0+deb9u1
2018-08-30 09:46:38 status unpacked libmariadbclient18:amd64 10.1.26-0+deb9u1
2018-08-30 09:46:38 install libdbd-mysql-perl:amd64 <none> 4.041-2
2018-08-30 09:46:38 status half-installed libdbd-mysql-perl:amd64 4.041-2
2018-08-30 09:46:38 status unpacked libdbd-mysql-perl:amd64 4.041-2
2018-08-30 09:46:38 status unpacked libdbd-mysql-perl:amd64 4.041-2
2018-08-30 09:46:38 install libterm-readkey-perl:amd64 <none> 2.37-1
2018-08-30 09:46:38 status half-installed libterm-readkey-perl:amd64 2.37-1
2018-08-30 09:46:38 status unpacked libterm-readkey-perl:amd64 2.37-1
2018-08-30 09:46:38 status unpacked libterm-readkey-perl:amd64 2.37-1
2018-08-30 09:46:38 install mysql-client:amd64 <none> 5.5.9999+default
2018-08-30 09:46:38 status half-installed mysql-client:amd64 5.5.9999+default
2018-08-30 09:46:38 status unpacked mysql-client:amd64 5.5.9999+default
2018-08-30 09:46:38 status unpacked mysql-client:amd64 5.5.9999+default
2018-08-30 09:46:38 startup packages configure
2018-08-30 09:46:38 configure readline-common:all 7.0-3 <none>
2018-08-30 09:46:38 status unpacked readline-common:all 7.0-3
2018-08-30 09:46:38 status half-configured readline-common:all 7.0-3
2018-08-30 09:46:38 status installed readline-common:all 7.0-3
