2018-09-12 09:57:48 startup archives unpack
2018-09-12 09:57:49 install libcap2:amd64 <none> 1:2.25-1
2018-09-12 09:57:49 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-09-12 09:57:49 status half-installed libcap2:amd64 1:2.25-1
2018-09-12 09:57:49 status unpacked libcap2:amd64 1:2.25-1
2018-09-12 09:57:49 status unpacked libcap2:amd64 1:2.25-1
2018-09-12 09:57:49 install iputils-ping:amd64 <none> 3:20161105-1
2018-09-12 09:57:49 status half-installed iputils-ping:amd64 3:20161105-1
2018-09-12 09:57:49 status unpacked iputils-ping:amd64 3:20161105-1
2018-09-12 09:57:49 status unpacked iputils-ping:amd64 3:20161105-1
2018-09-12 09:57:49 install libcap2-bin:amd64 <none> 1:2.25-1
2018-09-12 09:57:49 status half-installed libcap2-bin:amd64 1:2.25-1
2018-09-12 09:57:49 status unpacked libcap2-bin:amd64 1:2.25-1
2018-09-12 09:57:49 status unpacked libcap2-bin:amd64 1:2.25-1
2018-09-12 09:57:49 install libpam-cap:amd64 <none> 1:2.25-1
2018-09-12 09:57:49 status half-installed libpam-cap:amd64 1:2.25-1
2018-09-12 09:57:49 status unpacked libpam-cap:amd64 1:2.25-1
2018-09-12 09:57:49 status unpacked libpam-cap:amd64 1:2.25-1
2018-09-12 09:57:49 startup packages configure
2018-09-12 09:57:49 configure libcap2:amd64 1:2.25-1 <none>
2018-09-12 09:57:49 status unpacked libcap2:amd64 1:2.25-1
2018-09-12 09:57:49 status half-configured libcap2:amd64 1:2.25-1
2018-09-12 09:57:49 status installed libcap2:amd64 1:2.25-1
2018-09-12 09:57:49 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2018-09-12 09:57:49 status half-configured libc-bin:amd64 2.24-11+deb9u3
2018-09-12 09:57:49 status installed libc-bin:amd64 2.24-11+deb9u3
2018-09-12 09:57:49 configure iputils-ping:amd64 3:20161105-1 <none>
2018-09-12 09:57:49 status unpacked iputils-ping:amd64 3:20161105-1
2018-09-12 09:57:49 status half-configured iputils-ping:amd64 3:20161105-1
2018-09-12 09:57:49 status installed iputils-ping:amd64 3:20161105-1
2018-09-12 09:57:49 configure libpam-cap:amd64 1:2.25-1 <none>
2018-09-12 09:57:49 status unpacked libpam-cap:amd64 1:2.25-1
2018-09-12 09:57:49 status unpacked libpam-cap:amd64 1:2.25-1
2018-09-12 09:57:49 status half-configured libpam-cap:amd64 1:2.25-1
2018-09-12 09:57:49 status installed libpam-cap:amd64 1:2.25-1
2018-09-12 09:57:49 configure libcap2-bin:amd64 1:2.25-1 <none>
2018-09-12 09:57:49 status unpacked libcap2-bin:amd64 1:2.25-1
2018-09-12 09:57:49 status half-configured libcap2-bin:amd64 1:2.25-1
2018-09-12 09:57:49 status installed libcap2-bin:amd64 1:2.25-1
2018-09-12 10:28:09 startup archives unpack
2018-09-12 10:28:09 install libcap2:amd64 <none> 1:2.25-1
2018-09-12 10:28:09 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-09-12 10:28:09 status half-installed libcap2:amd64 1:2.25-1
2018-09-12 10:28:09 status unpacked libcap2:amd64 1:2.25-1
2018-09-12 10:28:09 status unpacked libcap2:amd64 1:2.25-1
2018-09-12 10:28:09 install iputils-ping:amd64 <none> 3:20161105-1
2018-09-12 10:28:09 status half-installed iputils-ping:amd64 3:20161105-1
2018-09-12 10:28:09 status unpacked iputils-ping:amd64 3:20161105-1
2018-09-12 10:28:09 status unpacked iputils-ping:amd64 3:20161105-1
2018-09-12 10:28:09 install libcap2-bin:amd64 <none> 1:2.25-1
2018-09-12 10:28:09 status half-installed libcap2-bin:amd64 1:2.25-1
2018-09-12 10:28:09 status unpacked libcap2-bin:amd64 1:2.25-1
2018-09-12 10:28:09 status unpacked libcap2-bin:amd64 1:2.25-1
2018-09-12 10:28:09 install libpam-cap:amd64 <none> 1:2.25-1
2018-09-12 10:28:09 status half-installed libpam-cap:amd64 1:2.25-1
2018-09-12 10:28:09 status unpacked libpam-cap:amd64 1:2.25-1
2018-09-12 10:28:09 status unpacked libpam-cap:amd64 1:2.25-1
2018-09-12 10:28:09 startup packages configure
2018-09-12 10:28:09 configure libcap2:amd64 1:2.25-1 <none>
2018-09-12 10:28:09 status unpacked libcap2:amd64 1:2.25-1
2018-09-12 10:28:09 status half-configured libcap2:amd64 1:2.25-1
2018-09-12 10:28:09 status installed libcap2:amd64 1:2.25-1
2018-09-12 10:28:09 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2018-09-12 10:28:09 status half-configured libc-bin:amd64 2.24-11+deb9u3
2018-09-12 10:28:10 status installed libc-bin:amd64 2.24-11+deb9u3
2018-09-12 10:28:10 configure iputils-ping:amd64 3:20161105-1 <none>
2018-09-12 10:28:10 status unpacked iputils-ping:amd64 3:20161105-1
2018-09-12 10:28:10 status half-configured iputils-ping:amd64 3:20161105-1
2018-09-12 10:28:10 status installed iputils-ping:amd64 3:20161105-1
2018-09-12 10:28:10 configure libpam-cap:amd64 1:2.25-1 <none>
2018-09-12 10:28:10 status unpacked libpam-cap:amd64 1:2.25-1
2018-09-12 10:28:10 status unpacked libpam-cap:amd64 1:2.25-1
2018-09-12 10:28:10 status half-configured libpam-cap:amd64 1:2.25-1
2018-09-12 10:28:10 status installed libpam-cap:amd64 1:2.25-1
2018-09-12 10:28:10 configure libcap2-bin:amd64 1:2.25-1 <none>
2018-09-12 10:28:10 status unpacked libcap2-bin:amd64 1:2.25-1
2018-09-12 10:28:10 status half-configured libcap2-bin:amd64 1:2.25-1
2018-09-12 10:28:10 status installed libcap2-bin:amd64 1:2.25-1
